# lcxl map saved 250907_091221
b0_f1 77 9 1482713150
b0_f2 78 9 1482713150
b0_f3 79 9 1482713150
b0_f4 80 9 1482713150
b0_f5 81 9 1482713150
b0_f6 82 9 1482713150
b0_f7 83 9 1482713150
b0_f8 84 9 1482713150
b0_t1_r1 13 9 1482713150
b0_t1_r2 29 9 1482713150
b0_t1_r3 49 9 1482713150
b0_t2_r1 14 9 1482713150
b0_t2_r2 30 9 1482713150
b0_t2_r3 50 9 1482713150
b0_t3_r1 15 9 1482713150
b0_t3_r2 31 9 1482713150
b0_t3_r3 51 9 1482713150
b0_t4_r1 16 9 1482713150
b0_t4_r2 32 9 1482713150
b0_t4_r3 52 9 1482713150
b0_t5_r1 17 9 1482713150
b0_t5_r2 33 9 1482713150
b0_t5_r3 53 9 1482713150
b0_t6_r1 18 9 1482713150
b0_t6_r2 34 9 1482713150
b0_t6_r3 52 9 1482713150
b0_t7_r1 19 9 1482713150
b0_t7_r2 35 9 1482713150
b0_t7_r3 54 9 1482713150
b0_t8_r1 20 9 1482713150
b0_t8_r2 36 9 1482713150
b0_t8_r3 55 9 1482713150
